Fiscal Year,Quarter,Filing Date,Report Date,Revenue,Cost of Sales,Gross Profit,SG&A,Depreciation and amortization,amortization of goodwill,Goodwill impairments,asset impairments,gain on sale of assets,merger-related expenses,Operating earnings,"Other loss, net","Interest expense (income), net",Debt extinguishment expense,Merger-related interest expense,Earnings before income taxes,Income tax expense (negative number is benefit),Net Earnings,Net EPS,Weighted average shares outstanding basic,Total assets,Total debt,Total liabilities,Stockholders' equity,DRS,URL
2023,FY23,2024-03-26,2024-02-03,5272800000,3978600000,1294200000,1323900000,,,,4800000,,,-34500000,1900000,-49500000,,,13100000,6400000,6700000,0.02,305100000,2709000000,17700000,1370400000,1388600000,75300000,https://investor.gamestop.com/node/20376/html
2022,FY22,2023-03-21,2023-01-28,5927200000,4555100000,1372100000,1681000000,,,,2700000,,,-311600000,,-9500000,,,-302100000,11000000,-313100000,-1.03,304200000,3113400000,28700000,1791100000,1322300000,76000000,https://www.sec.gov/Archives/edgar/data/1326380/000132638023000019/gme-20230128.htm
2021,FY21,2022-03-17,2022-01-29,6010700000,4662900000,1347800000,1709600000,,,,6700000,,,-368500000,,26900000,,,-395400000,-14100000,-381300000,-1.31,72600000,3499300000,40500000,1896800000,1602500000,8900000,https://www.sec.gov/Archives/edgar/data/1326380/000132638022000021/gme-20220129.htm
2020,FY20,,2021-01-30,5089800000,3830300000,1259500000,1514200000,,,15500000,,32400000,,-237000000,,32100000,,,-269900000,-55300000,-215300000,-3.31,65000000,2472600000,362700000,2035900000,436700000,0,https://www.sec.gov/Archives/edgar/data/1326380/000132638021000032/gme-20210130.htm
2019,FY19,,2020-02-01,6466000000,4557300000,1908700000,1922700000,,,385600000,,,,-399600000,,27200000,,,-426800000,37600000,-470900000,-5.38,87500000,2819700000,419800000,2208200000,611500000,0,https://www.sec.gov/Archives/edgar/data/1326380/000132638020000022/a10k-fy19q4.htm
2018,FY18,,2019-02-02,8285300000,5977200000,2308100000,1994200000,,,1015900000,,,,-702000000,,51100000,,,-753100000,41700000,-673000000,-6.59,102100000,4044300000,820800000,2708100000,1336200000,0,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000052/a10k-fy18q4.htm
2017,FY17,,2018-02-03,9224600000,6184500000,3040100000,2363000000,150700000,,32800000,358000000,,,135600000,,55300000,,,80300000,45600000,34700000,0.34,101400000,5041600000,817900000,2827100000,2214500000,0,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000033/a10k-fy17q4.htm
2016,FY16,,2017-01-28,8607900000,5598600000,3009300000,2252600000,165200000,,,33800000,,,557700000,,53000000,,,504700000,151500000,353200000,3.43,103400000,4975900000,815000000,2721800000,2254100000,0,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000046/a10k-fy16q4.htm
2015,FY15,,2016-01-30,9363800000,6445500000,2918300000,2108900000,156600000,,,4600000,,,648200000,,23000000,,,625200000,222400000,402800000,3.80,106000000,4334900000,350000000,2253900000,2081000000,0,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000323/a10ka-fy15q4.htm
2014,FY14,,2015-01-31,9296000000,6520100000,2775900000,2001000000,154400000,,10200000,2200000,,,618300000,,10000000,,,608300000,215200000,393100000,3.50,112200000,4246300000,350600000,2178600000,2067700000,0,https://www.sec.gov/Archives/edgar/data/1326380/000132638015000078/form10k-fy14.htm
2013,FY13,,2014-02-01,9039500000,6378400000,2661100000,1892400000,166500000,,,18500000,,,573500000,,4700000,,,568800000,214600000,354200000,3.02,117200000,4091400000,4000000,1840000000,2251400000,0,https://gamestop.gcs-web.com/static-files/3eb3d63d-81ac-484b-a131-ed7ab2d0ecaa
2012,FY12,,2013-02-02,8886700000,6235200000,2651500000,1835900000,176500000,,627000000,53700000,,,-41600000,,3300000,,,-44900000,224900000,-269700000,-2.13,126400000,3872200000,0,1585900000,2286300000,0,https://www.sec.gov/Archives/edgar/data/1326380/000119312513140443/d469015d10k.htm
2011,FY11,,2012-01-28,9550500000,6871000000,2579000000,1842100000,186300000,,,81200000,,,569900000,,19800000,1000000,,549100000,210600000,339900000,2.43,139900000,4608200000,0,1568000000,3040200000,0,https://www.sec.gov/Archives/edgar/data/1326380/000119312512134615/d283661d10k.htm
2010,FY10,,2011-01-29,9473700000,6936100000,2537600000,1700300000,174700000,,,1500000,,,662600000,,35200000,6000000,,621400000,214600000,408000000,2.69,151600000,4807500000,249000000,1911600000,2895900000,0,https://www.sec.gov/Archives/edgar/data/1326380/000095012311030842/d80233e10vk.htm
2009,FY09,,2010-01-30,9078000000,6643300000,2434700000,1635100000,162600000,,,1800000,,,637000000,,43200000,5300000,,588500000,212800000,377300000,2.29,164500000,4758400000,447300000,2035400000,2723000000,0,https://www.sec.gov/Archives/edgar/data/1326380/000095012310030164/d70778e10vk.htm
2008,FY08,,2009-01-31,8805900000,6535800000,2270100000,1445400000,145000000,,,,,4600000,675100000,,38800000,2300000,,634000000,235700000,398300000,2.44,163200000,4483500000,545700000,2212900000,2270600000,0,https://www.sec.gov/Archives/edgar/data/1326380/000095013409006730/d66430e10vk.htm
2007,FY07,,2008-02-02,7094000000,5280300000,1813700000,1182000000,130300000,,,,,,501400000,,47700000,12600000,,441100000,152800000,288300000,1.82,158200000,3775900000,574500000,1913400000,1862400000,0,https://www.sec.gov/Archives/edgar/data/1326380/000095013408005892/d55358e10vk.htm
2006,FY06,,2007-02-03,5318900000,3847500000,1471400000,1021100000,109800000,,,,,6800000,333700000,,73300000,6100000,,254300000,96000000,158300000,1.06,149900000,3349600000,855500000,1973700000,1375900000,0,https://www.sec.gov/Archives/edgar/data/1326380/000095013407007555/d45113e10vk.htm
2005,FY05,,2006-01-28,3091783000,2219753000,872030000,599343000,66355000,,,,,13600,192732000,,25292000,,7518000,159922000,59138000,100784000,1.74,57920000,3015119000,975990000,1900406000,1114713000,0,https://www.sec.gov/Archives/edgar/data/1326380/000095013406006576/d34677e10vk.htm
2004,FY04,,,1842806000,1333506000,509300000,373364000,36789000,,,,,,99147000,,236000,,,98911000,37985000,60926000,1.11,54662000,915983000,36520000,372972000,543011000,0,
2003,FY03,,,1578838000,1145893000,432945000,299193000,29368000,,,,,,104384000,,-804000,,,105188000,41721000,63467000,1.13,56330000,902189000,0,308156000,594033000,0,
2002,FY02,,,1352791000,1012145000,340646000,230461000,23114000,,,,,,87071000,,-630000,,,87701000,35297000,52404000,0.93,56289000,806237000,0,257562000,548675000,0,
2001,FY01,,,1121138000,855386000,265752000,200698000,19842000,11125000,,,,,34087000,,19452000,,,14635000,7675000,6960000,0.19,36009000,608674000,399623000,612659000,-3985000,0,
