Fiscal Year,Quarter,Filing Date,Report Date,Revenue,Cost of Sales,Gross Profit,SG&A,Depreciation and amortization,amortization of goodwill,Goodwill impairments,asset impairments,gain on sale of assets,merger-related expenses,Operating earnings,"Other loss, net","Interest expense (income), net",Debt extinguishment expense,Merger-related interest expense,Earnings before income taxes,Income tax expense (negative number is benefit),Net Earnings,Net EPS,Weighted average shares outstanding basic,Total assets,Total debt,Total liabilities,Stockholders' equity,DRS,URL
2024,Q1,2024-06-11,2024-05-04,881800000,637300000,244500000,295100000,,,,,,,-50600000,,14900000,,,-35700000,-3400000,-32300000,-0.11,305900000,2587100000,14900000,1279800000,1307300000,74600000,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326380/000132638024000030/gme-20240504.htm
2023,Q4,2024-03-26,2024-02-03,1793600000,1374400000,419200000,359200000,,,,,,,55200000,,,,,66700000,7900000,63100000,0.22,305300000,2709000000,17700000,1370400000,1388600000,75300000,https://investor.gamestop.com/sec-filings/sec-filing/10-k/0001326380-24-000012
2023,Q3,2023-12-06,2023-10-28,1078300000,796500000,281800000,296500000,,,,,,,-14700000,2500000,,,,,-1200000,-3100000,-0.01,305300000,3146900000,20000000,1884100000,1262800000,75400000,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-23-000063
2023,Q2,2023-09-06,2023-07-29,1163800000,857900000,305900000,322500000,,,,,,,-16600000,2000000,,,,-3000000,-200000,-2800000,-0.01,304800000,2803700000,23600000,1536500000,1267200000,75400000,https://gamestop.gcs-web.com/sec-filings/sec-filing/10-q/0001326380-23-000047
2023,Q1,2023-06-06,2023-04-29,1237100000,949800000,287300000,345700000,,,,,,,-58400000,1900000,9700000,,,-50600000,-100000,-50500000,-0.17,304500000,3070200000,26300000,1798600000,1271600000,76600000,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-23-000028
2022,Q4,2023-03-21,2023-01-28,2226400000,1726600000,499800000,453400000,,,,,,,46200000,,,,,52400000,4200000,48200000,0.16,304200000,3113400000,28700000,1791100000,1322300000,76000000,https://investor.gamestop.com/sec-filings/sec-filing/10-k/0001326380-23-000019
2022,Q3,2022-12-07,2022-10-29,1186400000,894800000,291600000,387900000,,,,,,,-96300000,,3700000,,,-92600000,2100000,-94700000,-0.31,304200000,3322500000,28800000,2077500000,1245000000,71800000,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-22-000137
2022,Q2,2022-09-07,2022-07-30,1136000000,853800000,282200000,387500000,,,,,,,-107800000,,-300000,,,-107500000,1200000,-108700000,-0.36,304200000,2799500000,32100000,1456000000,1343500000,71300000,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-22-000126
2022,Q1,2022-06-01,2022-06-01,1378400000,1079900000,298500000,452200000,,,,,,,-153700000,,700000,,,-154400000,3500000,-157900000,-2.08,75900000,3125500000,35700000,1674800000,1450700000,12700000,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-22-000072
2021,Q4,2022-03-17,2022-01-29,2253900000,1875700000,378200000,538900000,,,,,,,-166800000,,,,,-167700000,,-147500000,-2.03,72600000,3499300000,40500000,1896800000,1602500000,8900000,https://investor.gamestop.com/sec-filings/sec-filing/10-k/0001326380-22-000021
2021,Q3,,2021-10-30,1296600000,978000000,318600000,421500000,,,,,,,-102900000,,800000,,,-103700000,800000,-105400000,-1.39,75900000,3762000000,44800000,2007100000,1754900000,5200000,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-21-000129
2021,Q2,,2021-07-31,1183400000,862500000,320900000,378900000,,,,,,,-58000000,,600000,,,-58500000,3100000,-61600000,-0.85,72600000,3545800000,47500000,1693800000,1852000000,0,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-21-000090
2021,Q1,,2021-05-01,1276800000,946700000,330100000,370300000,,,,600000,,,-40800000,,100000,,,-65500000,1300000,-66800000,-1.01,66000000,2562700000,0,1683200000,879500000,0,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-21-000066
2020,Q4,,2021-01-30,2122100000,1673500000,448600000,419100000,,,,,,,18800000,,,,,10600000,,80500000,1.24,65000000,2472600000,362700000,2035900000,436700000,0,https://investor.gamestop.com/node/18661/html
2020,Q3,,2020-10-31,1004700000,728400000,276300000,360400000,,,,,-21100000,,-63000000,,10000000,,,-72700000,53900000,-18800000,-0.29,65200000,2601400000,216000000,2269200000,332200000,0,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-20-000134
2020,Q2,,2020-08-01,942000000,689800000,252200000,348200000,,,900000,,-11300000,,-85600000,,-400000,,,-93100000,17900000,-111300000,-1.71,65000000,2375200000,215900000,2022900000,352300000,0,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-20-000119
2020,Q1,,2020-05-02,1021000000,738600000,282400000,386500000,,,,3900000,,,-108000000,,8500000,,,-114700000,50400000,-165700000,-2.56,64500000,2469000000,0,2034000000,435000000,0,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-20-000060
2019,Q4,,2020-02-01,2194100000,1596800000,597300000,,,,,,,,75200000,,,,,,,,,,,419800000,2208200000,611500000,0,https://gamestop.gcs-web.com/sec-filings/sec-filing/10-k/0001326380-20-000022
2019,Q3,,2019-11-02,1438500000,997400000,441100000,,,,,,,,-45600000,,,,,,,,,,,,,,0,https://gamestop.gcs-web.com/news-releases/news-release-details/gamestop-reports-third-quarter-fiscal-2019-results-and-updates
2019,Q2,,2019-08-03,1285700000,886600000,399100000,,,,,,,,-446700000,,,,,,,,,,,,,,0,https://gamestop.gcs-web.com/events/event-details/q2-2019-gamestop-corp-earnings-conference-call
2019,Q1,,2019-05-04,1547700000,1076500000,471200000,,,,,,,,17500000,,,,,,,,,,,,,,0,https://gamestop.gcs-web.com/news-releases/news-release-details/gamestop-reports-first-quarter-fiscal-2019-results
2018,Q4,,2019-02-02,3063000000,2314200000,748800000,,,,,,,,-232100000,,,,,,,,,,,820800000,2708100000,1336200000,0,https://gamestop.gcs-web.com/static-files/1ec96052-048b-49d1-99e9-171d88727516
2018,Q3,,2018-11-03,1935400000,1377200000,558200000,,,,,,,,-517900000,,,,,,,,,,,,,,0,https://gamestop.gcs-web.com/static-files/3026ccf1-e815-4cfc-b76b-250f80620d13
2018,Q2,,2018-08-04,1501100000,1031100000,470000000,,,,,,,,1500000,,,,,,,,,,,,,,0,https://gamestop.gcs-web.com/static-files/1f702051-0315-4164-8596-6aa7d2473c42
2018,Q1,,2018-05-05,1785800000,1254700000,531100000,,,,,,,,46500000,,,,,,,,,,,,,,0,https://gamestop.gcs-web.com/static-files/e670d399-79fe-4703-82eb-8a36e65e3915
2017,Q4,,2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,,0,
