Date,Close/Last,Volume,Open,High,Low
07/22/2024,$25.22,14090400,$24.84,$25.98,$24.38
07/19/2024,$24.97,12763310,$25.55,$26.39,$24.85
07/18/2024,$25.88,16969660,$27.98,$28.382,$25.61
07/17/2024,$27.98,23775050,$28.40,$29.79,$27.24
07/16/2024,$28.54,25594530,$27.75,$28.83,$27.3701
07/15/2024,$27.00,17136420,$25.98,$27.20,$25.651
07/12/2024,$26.05,16238870,$25.76,$26.89,$25.42
07/11/2024,$25.57,13032720,$25.435,$26.02,$25.02
07/10/2024,$24.97,22325380,$25.00,$26.45,$24.90
07/09/2024,$24.60,9523548,$24.60,$25.1799,$24.00
07/08/2024,$24.45,11815530,$24.12,$25.14,$23.85
07/05/2024,$24.18,11782060,$24.18,$25.0799,$23.82
07/03/2024,$24.37,11829530,$24.03,$24.89,$23.65
07/02/2024,$23.98,13703520,$23.24,$24.3199,$23.10
07/01/2024,$23.33,30688980,$23.35,$23.78,$22.31
06/28/2024,$24.69,20212010,$25.02,$26.17,$24.31
06/27/2024,$25.09,34866990,$24.10,$26.69,$24.06
06/26/2024,$24.20,17903020,$24.60,$25.38,$24.04
06/25/2024,$24.93,27625610,$23.60,$24.97,$22.55
06/24/2024,$23.65,22162930,$23.26,$24.83,$23.24
06/21/2024,$23.93,28004000,$25.24,$25.81,$23.51
06/20/2024,$25.59,36029250,$24.25,$25.93,$23.65
06/18/2024,$24.70,38079230,$24.58,$25.97,$23.61
06/17/2024,$25.22,90351900,$28.55,$29.18,$23.79
06/14/2024,$28.70,82874430,$29.23,$30.66,$27.41
06/13/2024,$29.12,107306600,$26.56,$29.58,$25.56
06/12/2024,$25.46,147986700,$29.17,$33.70,$24.83
06/11/2024,$30.49,146914700,$24.40,$30.92,$22.79
06/10/2024,$24.83,131572400,$28.97,$29.34,$23.06
06/07/2024,$28.22,279054400,$37.69,$48.00,$26.12
06/06/2024,$46.55,206685800,$31.57,$47.50,$31.28
06/05/2024,$31.57,73156420,$26.30,$31.84,$26.11
06/04/2024,$26.50,51662130,$26.26,$28.01,$25.20
06/03/2024,$28.00,165808300,$40.19,$40.50,$26.40
05/31/2024,$23.14,22174270,$22.58,$23.72,$21.68
05/30/2024,$22.61,24508770,$21.02,$22.70,$20.10
05/29/2024,$21.24,26921160,$22.00,$22.98,$21.05
05/28/2024,$23.78,105077600,$23.10,$26.66,$21.15
05/24/2024,$19.00,43017090,$18.42,$19.68,$17.70
05/23/2024,$18.32,30561060,$21.40,$21.40,$18.26
05/22/2024,$21.12,43521390,$21.56,$22.25,$20.76
05/21/2024,$22.12,49250070,$22.24,$22.85,$20.04
05/20/2024,$23.14,55261640,$21.54,$23.40,$18.94
05/17/2024,$22.21,96079620,$21.86,$22.41,$19.70
05/16/2024,$27.67,76177580,$33.98,$35.24,$27.59
05/15/2024,$39.55,131790100,$40.31,$42.35,$31.00
05/14/2024,$48.75,206979100,$64.83,$64.83,$36.00
05/13/2024,$30.45,187241700,$26.34,$38.20,$24.77
05/10/2024,$17.46,36831950,$17.93,$20.20,$16.88
05/09/2024,$18.01,25759330,$15.90,$18.51,$15.35
05/08/2024,$15.92,24775090,$16.05,$17.24,$15.33
05/07/2024,$16.31,24308560,$15.85,$17.29,$14.93
05/06/2024,$16.31,48018670,$14.99,$17.40,$13.62
05/03/2024,$16.47,36292450,$12.42,$17.45,$12.31
05/02/2024,$12.76,8654774,$11.11,$12.88,$10.96
05/01/2024,$10.91,2659899,$11.03,$11.32,$10.70
04/30/2024,$11.09,2866509,$11.18,$11.30,$10.91
04/29/2024,$11.29,3835686,$11.84,$11.96,$11.18
04/26/2024,$11.90,7685106,$11.18,$12.19,$11.00
04/25/2024,$11.21,4903794,$10.70,$11.21,$10.48
04/24/2024,$10.93,4829577,$10.16,$10.94,$10.16
04/23/2024,$10.16,2511759,$10.05,$10.28,$10.01
04/22/2024,$10.01,3261000,$10.41,$10.45,$10.01
04/19/2024,$10.42,2462726,$10.20,$10.50,$10.20
04/18/2024,$10.31,2175390,$10.32,$10.63,$10.27
04/17/2024,$10.30,2096726,$10.44,$10.59,$10.30
04/16/2024,$10.37,4162126,$10.00,$10.55,$9.95
04/15/2024,$10.06,5086322,$10.81,$10.84,$10.06
04/12/2024,$10.77,3214436,$11.21,$11.23,$10.76
04/11/2024,$11.29,3802099,$10.91,$11.39,$10.80
04/10/2024,$10.85,3546218,$10.90,$11.07,$10.75
04/09/2024,$11.01,3514403,$10.85,$11.18,$10.73
04/08/2024,$10.83,3659142,$11.30,$11.37,$10.83
04/05/2024,$11.25,4759967,$11.30,$11.50,$10.97
04/04/2024,$11.53,4347040,$11.50,$11.83,$11.38
04/03/2024,$11.38,4331531,$11.22,$11.50,$10.90
04/02/2024,$11.28,6327692,$11.84,$11.99,$11.26
04/01/2024,$11.99,9207097,$12.63,$12.67,$11.55
03/28/2024,$12.52,8473465,$13.19,$13.19,$12.47
03/27/2024,$13.17,17871310,$13.05,$13.72,$12.80
03/26/2024,$15.50,17245820,$15.15,$15.63,$14.75
03/25/2024,$15.12,10416330,$13.42,$15.15,$13.31
03/22/2024,$13.10,4411634,$13.76,$13.95,$13.01
03/21/2024,$13.66,3382799,$13.56,$14.02,$13.48
03/20/2024,$13.48,3921267,$13.47,$13.79,$13.21
03/19/2024,$13.41,3894727,$13.76,$13.89,$13.30
03/18/2024,$13.91,3490830,$14.25,$14.30,$13.90
03/15/2024,$14.24,4480662,$14.55,$14.83,$14.21
03/14/2024,$14.63,2534219,$14.80,$15.02,$14.40
03/13/2024,$14.87,2898100,$14.69,$15.20,$14.62
03/12/2024,$14.72,2382616,$14.35,$14.84,$14.09
03/11/2024,$14.43,2111889,$14.64,$14.94,$14.36
03/08/2024,$14.65,3169763,$15.40,$15.63,$14.52
03/07/2024,$15.26,2111912,$15.26,$15.51,$15.05
03/06/2024,$15.26,3818096,$15.22,$15.89,$14.94
03/05/2024,$15.00,3152726,$14.95,$15.28,$14.78
03/04/2024,$15.22,4367601,$14.93,$15.59,$14.83
03/01/2024,$14.95,4899457,$14.18,$15.09,$13.99
02/29/2024,$14.27,2638703,$14.34,$14.65,$14.03
02/28/2024,$14.24,2440715,$14.00,$14.47,$13.89
02/27/2024,$14.21,2795509,$13.70,$14.29,$13.68
02/26/2024,$13.68,2278614,$13.31,$13.75,$13.20
02/23/2024,$13.51,2319731,$13.30,$13.79,$13.12
02/22/2024,$13.36,1817822,$13.50,$13.65,$13.34
02/21/2024,$13.41,1731270,$13.46,$13.67,$13.23
02/20/2024,$13.49,3784513,$13.96,$14.05,$13.16
02/16/2024,$14.12,2301927,$14.46,$14.53,$14.10
02/15/2024,$14.51,2400542,$14.54,$14.75,$14.23
02/14/2024,$14.41,2504419,$14.33,$14.43,$14.05
02/13/2024,$14.17,3788691,$14.20,$14.40,$13.77
02/12/2024,$14.73,2750144,$14.58,$15.22,$14.53
02/09/2024,$14.66,3575284,$14.37,$15.23,$14.30
02/08/2024,$14.35,1838274,$14.01,$14.44,$13.89
02/07/2024,$14.07,1947793,$14.12,$14.30,$13.78
02/06/2024,$14.10,3052466,$13.60,$14.30,$13.43
02/05/2024,$13.46,4361519,$14.50,$14.61,$13.40
02/02/2024,$14.73,2924462,$14.15,$14.92,$14.08
02/01/2024,$14.42,2220154,$14.34,$14.42,$14.02
01/31/2024,$14.23,2684680,$14.40,$14.83,$14.22
01/30/2024,$14.55,1652561,$14.54,$14.82,$14.51
01/29/2024,$14.78,2164235,$14.50,$14.81,$14.32
01/26/2024,$14.49,2288830,$14.44,$14.72,$14.41
01/25/2024,$14.52,3635866,$13.97,$14.54,$13.92
01/24/2024,$13.95,2513801,$14.28,$14.38,$13.82
01/23/2024,$14.18,3495270,$15.00,$15.02,$14.05
01/22/2024,$14.90,3606547,$14.50,$15.16,$14.30
01/19/2024,$14.51,2396197,$14.36,$14.60,$14.09
01/18/2024,$14.29,3906004,$14.20,$14.77,$14.05
01/17/2024,$14.08,2706197,$13.86,$14.11,$13.71
01/16/2024,$13.98,3581167,$14.60,$14.62,$13.93
01/12/2024,$14.75,2479772,$15.30,$15.62,$14.73
01/11/2024,$15.25,2992177,$15.65,$15.80,$15.24
01/10/2024,$15.73,3191714,$15.12,$15.76,$14.97
01/09/2024,$15.16,3105267,$15.59,$15.62,$15.12
01/08/2024,$15.79,3031109,$15.78,$16.12,$15.70
01/05/2024,$15.96,2619192,$16.16,$16.52,$15.96
01/04/2024,$16.36,2671512,$16.51,$16.75,$16.31
01/03/2024,$16.69,4193550,$16.30,$16.83,$15.90
01/02/2024,$16.67,4428020,$17.25,$17.60,$16.58
12/29/2023,$17.53,4536656,$18.04,$18.16,$17.46
12/28/2023,$18.07,3574783,$18.05,$18.32,$17.85
12/27/2023,$18.37,4800071,$17.43,$18.37,$17.37
12/26/2023,$17.36,3079617,$16.98,$17.41,$16.82
12/22/2023,$16.97,3329896,$16.78,$17.20,$16.45
12/21/2023,$16.98,3975273,$17.19,$17.34,$16.59
12/20/2023,$16.93,5552971,$17.53,$18.38,$16.89
12/19/2023,$17.72,5447123,$17.89,$18.59,$17.23
12/18/2023,$17.86,7352153,$17.24,$18.51,$17.10
12/15/2023,$17.26,7119134,$17.40,$17.58,$17.01
12/14/2023,$17.44,10750750,$17.14,$17.88,$16.80
12/13/2023,$16.69,9086880,$15.22,$16.80,$15.19
12/12/2023,$15.22,4210660,$15.12,$15.36,$14.84
12/11/2023,$15.07,4961223,$15.45,$15.69,$14.98
12/08/2023,$15.55,10401390,$15.83,$16.48,$15.47
12/07/2023,$16.36,19840670,$13.71,$16.52,$13.56
12/06/2023,$14.84,12691340,$15.36,$15.70,$14.64
12/05/2023,$14.91,14220060,$16.47,$16.72,$14.87
12/04/2023,$16.98,20098660,$15.29,$17.41,$14.91
12/01/2023,$15.30,13378650,$14.52,$15.99,$14.50
11/30/2023,$14.55,16537170,$16.29,$16.33,$14.32
11/29/2023,$16.25,61172840,$15.49,$17.56,$14.70
11/28/2023,$13.49,14192940,$11.90,$13.55,$11.89
11/27/2023,$11.91,3710572,$12.18,$12.33,$11.89
11/24/2023,$12.20,1232474,$12.22,$12.41,$12.18
11/22/2023,$12.29,2362461,$12.56,$12.71,$12.19
11/21/2023,$12.55,3710097,$12.65,$12.72,$12.26
11/20/2023,$12.80,2301584,$13.00,$13.20,$12.80
11/17/2023,$13.03,3422596,$12.52,$13.06,$12.52
11/16/2023,$12.53,3425773,$13.14,$13.19,$12.52
11/15/2023,$13.27,4121561,$13.15,$13.50,$13.03
11/14/2023,$12.90,5187534,$12.75,$13.39,$12.69
11/13/2023,$12.14,4318457,$12.50,$12.53,$11.83
11/10/2023,$12.54,3875692,$12.81,$12.97,$12.35
11/09/2023,$12.70,2750115,$13.25,$13.32,$12.70
11/08/2023,$13.28,1705621,$13.51,$13.76,$13.28
11/07/2023,$13.64,2354364,$13.47,$13.79,$13.23
11/06/2023,$13.53,2164399,$13.99,$14.05,$13.49
11/03/2023,$13.87,2966237,$13.90,$14.40,$13.83
11/02/2023,$13.64,3566585,$13.37,$13.70,$13.28
11/01/2023,$13.01,3430138,$13.78,$13.80,$13.01
10/31/2023,$13.77,4574637,$12.85,$13.90,$12.82
10/30/2023,$12.80,3475939,$13.15,$13.27,$12.59
10/27/2023,$13.12,2481701,$13.51,$13.62,$13.02
10/26/2023,$13.50,2036419,$13.73,$13.80,$13.41
10/25/2023,$13.71,1967280,$14.01,$14.01,$13.61
10/24/2023,$14.04,3738325,$13.59,$14.30,$13.55
10/23/2023,$13.44,2785462,$13.28,$13.59,$13.04
10/20/2023,$13.44,3661770,$13.18,$13.80,$13.12
10/19/2023,$13.16,5808038,$13.80,$13.85,$12.90
10/18/2023,$13.85,4045789,$14.00,$14.25,$13.81
10/17/2023,$14.12,3842428,$14.25,$14.83,$14.10
10/16/2023,$14.43,3508601,$14.81,$14.93,$14.15
10/13/2023,$14.92,1835601,$14.92,$15.11,$14.78
10/12/2023,$15.09,3180340,$15.77,$15.80,$14.82
10/11/2023,$15.82,2098203,$16.01,$16.09,$15.74
10/10/2023,$16.00,2915872,$15.50,$16.19,$15.40
10/09/2023,$15.40,2276323,$14.77,$15.50,$14.72
10/06/2023,$15.08,2467053,$14.59,$15.26,$14.58
10/05/2023,$14.71,1945094,$14.70,$14.98,$14.58
10/04/2023,$14.87,2586368,$14.77,$14.94,$14.44
10/03/2023,$14.60,4510325,$15.29,$15.29,$14.57
10/02/2023,$15.39,6087651,$16.30,$16.31,$15.26
09/29/2023,$16.46,3397024,$17.05,$17.26,$16.40
09/28/2023,$16.84,7431938,$18.02,$18.10,$16.44
09/27/2023,$17.15,1681325,$16.87,$17.26,$16.81
09/26/2023,$16.78,2726813,$17.38,$17.82,$16.78
09/25/2023,$17.67,2181230,$17.00,$17.72,$16.85
09/22/2023,$17.18,2102886,$17.18,$17.35,$17.00
09/21/2023,$17.02,2913533,$17.28,$17.32,$16.65
09/20/2023,$17.52,2134121,$17.63,$17.93,$17.45
09/19/2023,$17.52,2584791,$17.59,$17.64,$17.13
09/18/2023,$17.55,3694591,$17.99,$18.10,$17.35
09/15/2023,$18.22,6166608,$18.36,$18.61,$18.15
09/14/2023,$18.33,3077962,$17.80,$18.52,$17.60
09/13/2023,$17.81,3012556,$17.31,$17.93,$17.27
09/12/2023,$17.23,5179405,$17.53,$18.50,$17.19
09/11/2023,$17.02,3543797,$17.85,$17.85,$16.90
09/08/2023,$17.71,4694034,$18.15,$18.50,$17.35
09/07/2023,$18.89,5021288,$19.13,$19.48,$17.61
09/06/2023,$18.75,6107245,$19.06,$19.15,$18.42
09/05/2023,$19.23,3781292,$18.45,$19.34,$18.26
09/01/2023,$18.42,2135901,$18.66,$18.73,$18.32
08/31/2023,$18.55,4674143,$18.41,$19.42,$18.15
08/30/2023,$18.37,1884501,$18.20,$18.53,$17.91
08/29/2023,$18.24,2709238,$17.60,$18.55,$17.60
08/28/2023,$17.57,3007418,$17.35,$18.11,$17.25
08/25/2023,$17.13,3423462,$16.50,$17.18,$16.45
08/24/2023,$16.36,3624485,$16.94,$16.98,$16.18
08/23/2023,$16.89,2909054,$17.25,$17.34,$16.88
08/22/2023,$17.26,3791911,$18.62,$18.62,$17.25
08/21/2023,$18.48,2864735,$18.30,$18.82,$18.20
08/18/2023,$18.36,2029098,$18.18,$18.66,$18.14
08/17/2023,$18.38,2056830,$18.79,$18.81,$18.30
08/16/2023,$18.59,3015627,$19.18,$19.34,$18.55
08/15/2023,$19.33,2290326,$19.77,$19.78,$19.09
08/14/2023,$19.96,3329291,$19.75,$20.01,$19.08
08/11/2023,$20.19,1522912,$20.03,$20.38,$19.97
08/10/2023,$20.19,1432446,$20.00,$20.29,$19.87
08/09/2023,$19.93,2929553,$20.85,$20.85,$19.82
08/08/2023,$20.74,1431250,$20.70,$20.90,$20.28
08/07/2023,$21.07,1441290,$20.90,$21.24,$20.48
08/04/2023,$20.98,2406033,$20.95,$21.89,$20.89
08/03/2023,$20.93,1324938,$20.88,$21.18,$20.74
08/02/2023,$20.83,2630714,$21.15,$21.15,$20.34
08/01/2023,$21.50,2574804,$21.95,$22.00,$21.26
07/31/2023,$22.20,1975391,$22.00,$22.38,$21.85
07/28/2023,$21.93,2647747,$22.02,$22.49,$21.79
07/27/2023,$22.22,3370913,$22.94,$23.49,$22.13
07/26/2023,$22.70,1489152,$22.70,$22.99,$22.48
