Date,Close/Last,Volume,Open,High,Low
12/31/2019,$1.52,17290440,$1.52,$1.60,$1.50
12/30/2019,$1.53,17929392,$1.47,$1.56,$1.44
12/27/2019,$1.48,44165160,$1.36,$1.50,$1.35
12/26/2019,$1.35,17064612,$1.37,$1.38,$1.31
12/24/2019,$1.36,13582040,$1.41,$1.42,$1.36
12/23/2019,$1.40,25131632,$1.51,$1.52,$1.39
12/20/2019,$1.50,21938516,$1.52,$1.56,$1.49
12/19/2019,$1.52,17807916,$1.55,$1.56,$1.51
12/18/2019,$1.54,21062424,$1.52,$1.57,$1.48
12/17/2019,$1.52,16569336,$1.38,$1.52,$1.37
12/16/2019,$1.38,17628824,$1.35,$1.40,$1.35
12/13/2019,$1.36,21756332,$1.37,$1.41,$1.31
12/12/2019,$1.40,25549496,$1.37,$1.43,$1.35
12/11/2019,$1.38,78155640,$1.31,$1.45,$1.30
12/10/2019,$1.63,38875396,$1.57,$1.64,$1.53
12/09/2019,$1.58,25406232,$1.66,$1.73,$1.55
12/06/2019,$1.67,19029552,$1.60,$1.67,$1.60
12/05/2019,$1.60,17525652,$1.58,$1.63,$1.56
12/04/2019,$1.61,11489940,$1.54,$1.62,$1.53
12/03/2019,$1.53,8864792,$1.51,$1.55,$1.48
12/02/2019,$1.54,8242504,$1.59,$1.62,$1.52
11/29/2019,$1.59,5475932,$1.58,$1.60,$1.56
11/27/2019,$1.59,12124616,$1.53,$1.60,$1.51
11/26/2019,$1.53,10602756,$1.51,$1.57,$1.50
11/25/2019,$1.51,10979552,$1.42,$1.52,$1.41
11/22/2019,$1.42,13976200,$1.40,$1.46,$1.38
11/21/2019,$1.38,11136084,$1.37,$1.40,$1.34
11/20/2019,$1.37,10666788,$1.39,$1.39,$1.34
11/19/2019,$1.38,13442192,$1.39,$1.42,$1.36
11/18/2019,$1.41,11983576,$1.46,$1.46,$1.40
11/15/2019,$1.47,8664204,$1.50,$1.50,$1.46
11/14/2019,$1.50,6834940,$1.49,$1.53,$1.48
11/13/2019,$1.49,6135676,$1.48,$1.49,$1.45
11/12/2019,$1.48,7337940,$1.51,$1.52,$1.47
11/11/2019,$1.51,12437828,$1.51,$1.52,$1.44
11/08/2019,$1.52,7874880,$1.54,$1.57,$1.51
11/07/2019,$1.56,12517132,$1.55,$1.58,$1.51
11/06/2019,$1.52,16513168,$1.48,$1.55,$1.46
11/05/2019,$1.48,13496484,$1.47,$1.55,$1.47
11/04/2019,$1.46,14680196,$1.48,$1.51,$1.44
11/01/2019,$1.46,20841420,$1.36,$1.50,$1.36
10/31/2019,$1.36,17434288,$1.41,$1.42,$1.33
10/30/2019,$1.43,14958172,$1.44,$1.46,$1.38
10/29/2019,$1.45,15675112,$1.55,$1.56,$1.45
10/28/2019,$1.55,11418976,$1.60,$1.62,$1.54
10/25/2019,$1.59,10581660,$1.58,$1.61,$1.56
10/24/2019,$1.61,17109496,$1.63,$1.64,$1.51
10/23/2019,$1.61,16292568,$1.58,$1.66,$1.56
10/22/2019,$1.60,16707328,$1.48,$1.61,$1.48
10/21/2019,$1.48,14447612,$1.50,$1.54,$1.46
10/18/2019,$1.49,12788432,$1.51,$1.51,$1.44
10/17/2019,$1.51,14564452,$1.47,$1.51,$1.45
10/16/2019,$1.47,15539152,$1.40,$1.48,$1.40
10/15/2019,$1.40,25404476,$1.40,$1.48,$1.40
10/14/2019,$1.40,21625244,$1.33,$1.40,$1.31
10/11/2019,$1.34,23643352,$1.29,$1.37,$1.29
10/10/2019,$1.26,21036908,$1.26,$1.29,$1.24
10/09/2019,$1.25,23462368,$1.31,$1.33,$1.24
10/08/2019,$1.31,19293640,$1.36,$1.36,$1.29
10/07/2019,$1.37,17757904,$1.37,$1.40,$1.35
10/04/2019,$1.39,16936828,$1.36,$1.39,$1.34
10/03/2019,$1.36,17750272,$1.33,$1.37,$1.31
10/02/2019,$1.33,33859952,$1.39,$1.39,$1.31
10/01/2019,$1.40,26371796,$1.41,$1.45,$1.37
09/30/2019,$1.38,37457980,$1.36,$1.41,$1.35
09/27/2019,$1.34,22200848,$1.31,$1.36,$1.31
09/26/2019,$1.32,24434156,$1.30,$1.34,$1.27
09/25/2019,$1.30,48680120,$1.27,$1.39,$1.27
09/24/2019,$1.25,52588600,$1.29,$1.38,$1.25
09/23/2019,$1.26,50011440,$1.17,$1.30,$1.15
09/20/2019,$1.18,46519680,$1.15,$1.20,$1.13
09/19/2019,$1.11,31472576,$1.16,$1.17,$1.11
09/18/2019,$1.15,39241176,$1.08,$1.17,$1.08
09/17/2019,$1.08,25664332,$1.08,$1.09,$1.03
09/16/2019,$1.09,27046996,$1.08,$1.12,$1.07
09/13/2019,$1.10,30648736,$1.16,$1.19,$1.09
09/12/2019,$1.15,35634964,$1.15,$1.20,$1.11
09/11/2019,$1.15,136020040,$1.05,$1.24,$0.99
09/10/2019,$1.27,66636760,$1.22,$1.28,$1.13
09/09/2019,$1.19,58315080,$1.09,$1.23,$1.09
09/06/2019,$1.08,26806096,$1.06,$1.09,$1.04
09/05/2019,$1.06,27568344,$1.02,$1.06,$1.02
09/04/2019,$1.00,16925312,$0.97,$1.00,$0.96
09/03/2019,$0.95,36177720,$0.99,$1.02,$0.92
08/30/2019,$0.99,42543760,$1.07,$1.09,$0.98
08/29/2019,$1.06,53457640,$0.98,$1.07,$0.94
08/28/2019,$0.97,25799812,$0.93,$0.99,$0.92
08/27/2019,$0.93,22804976,$0.97,$0.98,$0.92
08/26/2019,$0.96,41317680,$0.93,$1.01,$0.91
08/23/2019,$0.91,34702544,$0.96,$0.98,$0.89
08/22/2019,$0.97,116765880,$0.99,$1.06,$0.93
08/21/2019,$0.89,24036892,$0.88,$0.91,$0.86
08/20/2019,$0.86,17040412,$0.84,$0.87,$0.82
08/19/2019,$0.85,11550420,$0.84,$0.87,$0.84
08/16/2019,$0.83,12522852,$0.81,$0.84,$0.80
08/15/2019,$0.80,23553568,$0.83,$0.85,$0.79
08/14/2019,$0.83,24327708,$0.85,$0.86,$0.80
08/13/2019,$0.87,18020680,$0.87,$0.94,$0.87
08/12/2019,$0.88,10710580,$0.90,$0.91,$0.86
