Date,Close/Last,Volume,Open,High,Low
03/20/2024,$13.48,3921267,$13.47,$13.7897,$13.21
03/19/2024,$13.41,3894727,$13.76,$13.894,$13.30
03/18/2024,$13.91,3490830,$14.25,$14.30,$13.90
03/15/2024,$14.24,4480662,$14.55,$14.83,$14.21
03/14/2024,$14.63,2534219,$14.80,$15.02,$14.40
03/13/2024,$14.87,2898100,$14.69,$15.20,$14.62
03/12/2024,$14.72,2382616,$14.35,$14.835,$14.09
03/11/2024,$14.43,2111889,$14.64,$14.94,$14.36
03/08/2024,$14.65,3169763,$15.40,$15.63,$14.515
03/07/2024,$15.26,2111912,$15.26,$15.51,$15.05
03/06/2024,$15.26,3818096,$15.22,$15.885,$14.94
03/05/2024,$15.00,3152726,$14.95,$15.28,$14.78
03/04/2024,$15.22,4367601,$14.93,$15.5885,$14.83
03/01/2024,$14.95,4899457,$14.18,$15.09,$13.991
02/29/2024,$14.27,2638703,$14.34,$14.65,$14.03
02/28/2024,$14.24,2440715,$14.00,$14.47,$13.89
02/27/2024,$14.21,2795509,$13.70,$14.2901,$13.68
02/26/2024,$13.68,2278614,$13.31,$13.745,$13.20
02/23/2024,$13.51,2319731,$13.30,$13.79,$13.12
02/22/2024,$13.36,1817822,$13.50,$13.65,$13.335
02/21/2024,$13.41,1731270,$13.46,$13.67,$13.2301
02/20/2024,$13.49,3784513,$13.96,$14.0477,$13.16
02/16/2024,$14.12,2301927,$14.46,$14.5334,$14.10
02/15/2024,$14.51,2400542,$14.54,$14.75,$14.23
02/14/2024,$14.41,2504419,$14.33,$14.43,$14.05
02/13/2024,$14.17,3788691,$14.20,$14.3997,$13.765
02/12/2024,$14.73,2750144,$14.58,$15.22,$14.53
02/09/2024,$14.66,3575284,$14.37,$15.23,$14.30
02/08/2024,$14.35,1838274,$14.01,$14.44,$13.89
02/07/2024,$14.07,1947793,$14.12,$14.30,$13.7805
02/06/2024,$14.10,3052466,$13.60,$14.30,$13.43
02/05/2024,$13.46,4361519,$14.50,$14.61,$13.40
02/02/2024,$14.73,2924462,$14.15,$14.92,$14.08
02/01/2024,$14.42,2220154,$14.34,$14.42,$14.02
01/31/2024,$14.23,2684680,$14.40,$14.83,$14.22
01/30/2024,$14.55,1652561,$14.54,$14.82,$14.51
01/29/2024,$14.78,2164235,$14.50,$14.805,$14.315
01/26/2024,$14.49,2288830,$14.44,$14.72,$14.41
01/25/2024,$14.52,3635866,$13.97,$14.5399,$13.92
01/24/2024,$13.95,2513801,$14.28,$14.38,$13.82
01/23/2024,$14.18,3495270,$15.00,$15.0247,$14.05
01/22/2024,$14.90,3606547,$14.50,$15.1619,$14.30
01/19/2024,$14.51,2396197,$14.36,$14.60,$14.085
01/18/2024,$14.29,3906004,$14.20,$14.765,$14.05
01/17/2024,$14.08,2706197,$13.86,$14.11,$13.71
01/16/2024,$13.98,3581167,$14.60,$14.62,$13.93
01/12/2024,$14.75,2479772,$15.30,$15.62,$14.73
01/11/2024,$15.25,2992177,$15.65,$15.80,$15.24
01/10/2024,$15.73,3191714,$15.12,$15.76,$14.97
01/09/2024,$15.16,3105267,$15.59,$15.62,$15.1201
01/08/2024,$15.79,3031109,$15.78,$16.12,$15.70
01/05/2024,$15.96,2619192,$16.16,$16.5199,$15.96
01/04/2024,$16.36,2671512,$16.51,$16.75,$16.31
01/03/2024,$16.69,4193550,$16.30,$16.825,$15.9001
01/02/2024,$16.67,4428020,$17.25,$17.595,$16.58
