year,quarter,10Q,NewsRelease,Filing  date,report date,Assets (milions),liabilities,Stockholder Equity,Net sales,cost of sales,gross profit,Operating loss / earnings,Net Gain / Loss,Weighted Average Shares Outstanding,DRS,Net earnings / losses  per share
2020,Q1,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-20-000060,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-first-quarter-results,2020-06-09,2020-05-02,2469,2034,435,1021,738.6,282.4,-108,-165.7,64.5,0,-2.57
2020,Q2,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-20-000119,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-second-quarter-results-and-strong-progress,2020-09-09,2020-08-01,2375.2,2022.9,352.3,942,689.8,252.2,-85.6,-111.3,65,0,-1.71
2020,Q3,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-20-000134,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-third-quarter-results-positive-start-fourth,2020-12-08,2020-10-31,2601.4,2269.2,332.2,1004.7,728.4,276.3,-63,-18.8,65.2,0,-0.29
2020,Q4,https://investor.gamestop.com/node/18661/html,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-fourth-quarter-and-fiscal-2020-results,2021-03-23,2021-01-30,2472.6,2035.9,436.7,2122.1,1673.5,448.6,18.8,80.5,65,0,1.23
2021,Q1,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-21-000066,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-financial-results-q2-2021,2021-06-09,2021-05-01,2562.7,1683.2,879.5,1276.8,946.7,330.1,-40.8,-66.8,66,0,-1.01
2021,Q2,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-21-000090,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-financial-results-q2-2021,2021-09-08,2021-07-31,3545.8,1693.8,1852,1183.4,862.5,320.9,-58,-61.6,72.6,0,-0.85
2021,Q3,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-21-000129,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-financial-results-q3-2021,2021-12-08,2021-10-30,3762,2007.1,1754.9,1296.6,978,318.6,-102.9,-105.4,75.9,5.2,-1.39
2021,Q4,https://investor.gamestop.com/sec-filings/sec-filing/10-k/0001326380-22-000021,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-fourth-quarter-and-fiscal-year-2021-results,2022-03-17,2022-01-29,3499.3,1896.6,1602.5,2253.9,1875.7,378.2,-166.8,-147.5,72.6,8.9,-2
2022,Q1,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-22-000072,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-first-quarter-fiscal-year-2022-results,2022-06-01,2022-06-01,3125.5,1674.8,1450.7,1378.4,1079.9,298.5,-153.7,-157.9,75.9,12.7,-2.08
2022,Q2,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-22-000126,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-second-quarter-fiscal-year-2022-results,2022-09-07,2022-07-30,2799.5,1456,1343.5,1136,853.8,282.2,-107.8,-108.7,304.2,71.3,-0.36
2022,Q3,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-22-000137,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-third-quarter-fiscal-year-2022-results,2022-12-07,2022-10-29,3322.5,2077.5,1245,1186.4,894.8,291.6,-96.3,-94.7,304.2,71.8,-0.31
2022,Q4,https://investor.gamestop.com/sec-filings/sec-filing/10-k/0001326380-23-000019,https://investor.gamestop.com/news-releases/news-release-details/gamestop-reports-fourth-quarter-and-fiscal-year-2022-results,2023-03-21,2023-01-28,3113.4,1791.1,1322.3,2226.4,1726.6,499.8,46.2,48.2,304.2,76,0.16
2023,Q1,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-23-000028,https://investor.gamestop.com/news-releases/news-release-details/gamestop-discloses-first-quarter-2023-results,2023-06-07,2023-04-29,3070.2,1798.6,1271.6,1237.1,949.8,287.3,-58.4,-50.5,304.5,76.6,-0.17
2023,Q2,https://gamestop.gcs-web.com/sec-filings/sec-filing/10-q/0001326380-23-000047,https://gamestop.gcs-web.com/news-releases/news-release-details/gamestop-discloses-second-quarter-2023-results,2023-09-06,2023-07-29,2803.7,1536.5,1267.2,1163.8,857.9,305.9,-16.6,-2.8,304.8,75.4,-0.01
